Nombre,Sexo,Circular,Origen y Comentarios
Agate,A,012-DGRC-2000,
Agatodoro,M,SANTORAL,
Agaton,M,SANTORAL,ORIGEN: GRIEGO
,,,"SIGNIFICADO: BUENO, PAPA DEL SIGLO VII"
,,,GENERO: MASCU- NO.  
Agatonico,M,SANTORAL,
Agatopodes,M,SANTORAL,
Agatopodo,M,SANTORAL,
Ageo,M,SANTORAL,
Agerico,M,SANTORAL,
Agilberto,M,SANTORAL,
Agileo,M,SANTORAL,
Agliberto,M,SANTORAL,
Agnano,M,SANTORAL,
Agnelo,M,SANTORAL,ORIGEN: LATINO
,,,SIGNIFICADO: REFERENTE AL CORDERO DE DIOS
,,,GENERO: MASCULINO.  
Agnew,M,012-DGRC-2000,
Agoardo,M,SANTORAL,
Agop,M,May-98,
Agostino,M,012-DGRC-2000,
Agricio,M,SANTORAL,
Agricola,M,SANTORAL,
Agripa,M,USJ,
Agripino,M,SANTORAL,
Aguri,M,012-DGRC-2000,
Agusti,M,012-DGRC-2000,
Agustin,M,COMUN,
Agustino,M,012-DGRC-2000,
Aharon,M,21/98,
Ahearn,M,012-DGRC-2000,
Ahian,M,012-DGRC-2000,
Ahilton,M,2-Dec,
Ahmad,M,012-DGRC-2000,
Ahmed,M,Sep-89,
Ahmik,M,012-DGRC-2000,
Aiad,A,ACOMP/OTRO.12/99,
Aicardo,M,SANTORAL,
Aidan,M,012-DGRC-2000,
Aidano,M,SANTORAL,
Aiel,M,5-Feb,
Aien,A,ACOMP/OTRO-9/95,
Aigulfo,M,SANTORAL,
Aike,A,ACOMP/OTRO-17/95,
Aimar,M,012-DGRC-2000,
Aimardo,M,SANTORAL,
Aimery,M,012-DGRC-2000,
Ain,A,ACOMP/OTRO-17/92,
Ainao,A,ACOMP/OTRO.8/03,
Ainslie,M,012-DGRC-2000,
Aiosha,M,012-DGRC-2000,
Aitalas,M,SANTORAL,
Aitor,M,910/79,
Ajani,M,012-DGRC-2000,
Ajay,M,012-DGRC-2000,
Akagi,M,012-DGRC-2000,
Akari,M,012-DGRC-2000,
Akbar,M,012-DGRC-2000,
Aki,M,...9/00,
Akil,M,012-DGRC-2000,
Akilah,A,012-DGRC-2000,
Akilina,A,012-DGRC-2000,
Akio,M,012-DGRC-2000,
Akira,M,Jan-96,
Akiva,M,012-DGRC-2000,
Aksel,M,012-DGRC-2000,
Al,M,012-DGRC-2000,
Alaciel,M,012-DGRC-2000,
Aladdin,M,012-DGRC-2000,
Aladino,M,864/75,ORIGEN: ARABE
,,,"SIGNIFICADO: SUBLIMIDAD DE LA FE, POSEEDOR DE LA LAMPARA MILAGROSA, PERSONAJE DE LAS MIL Y UNA NOCHE, EL QUE ALCANZO LA CUMBRE DEL SABER RELIGIOSO"
,,,GENERO: MASCULINO.-  
Alain,M,23/91,
Alair,M,012-DGRC-2000,
Alan,M,459/57,ORIGEN: GERMANICO
,,,SIGNIFICADO: VARIANTE ANGLICIZANTE DE ALANO
,,,GENERO: MASCULINO.-  
Alano,M,COMUN,ORIGEN: CELTA
,,,"SIGNIFICADO: DEL CELTICO""ALUN"", ARMONIA"
,,,GENERO: MASCU- LINO
,,,VARIACION DE GENERO: ALANA  
Alaor,M,505/59,
Alaric,M,012-DGRC-2000,
Alarico,M,COMUN,
Alastair,M,012-DGRC-2000,
Alayn,M,16/00,
Alban,M,012-DGRC-2000,
Albano,M,887/77,ORIGEN: LATINO
,,,"SIGNIFICADO: DEL LATIN ""ALBANUS"", GENTILICIO DE ALBA, LA MAS ANTIGUA CIUDAD LATINA, TAL VEZ DERIVADO DE ""ALBUS"": BLANCO (ALPUS MONTE CUBIERTO DE NIEVE). GENERO: MASCULINO.  "
Albar,M,012-DGRC-2000,
Alben,M,012-DGRC-2000,
Alberico,M,COMUN,
Albert,M,Nov-00,
Alberto,M,COMUN,ORIGEN: GERMANICO
,,,"SIGNIFICADO: BRILLANTE POR SU NOBLEZA, CONTRACCION DE ADALBERTO ""ALL"": TODO"
,,,"""BERTH"": ILUSTRE. NOMBRE: COMUN"
,,,GENERO: MASCU- LINO
,,,VARIACION DE GENERO: ALBERTINAALBERTA.  
Albin,M,012-DGRC-2000,
Albino,M,851/74,ORIGEN: LATINO
,,,"SIGNIFICADO: DEL LATIN ""ALBINUS"" PATRONIMICO DE ALBUS O SEA ALBO Y COGNOMEN ROMANO, EN EL SANTORAL APARECE UNA VIRGEN MARTIRI ZADA EN AL CAMPANIA CON ESTE NOMBRE, DE TEZ MUY BLANCA, HABITANTE DE LA NOCHE. VARIACION DE GENERO: ALBINA. "
Albuino,M,SANTORAL,
Alcander,M,012-DGRC-2000,
Alceo,M,COMUN,ORIGEN: GRIEGO
,,,SIGNIFICADO: ROBUSTONOMBRE QUE RECIBIO HERCULES AL NA CER EN EL RECUERDO DE SU ABUELO
,,,GENERO: MASCULINO  
Alcibiades,M,COMUN,ORIGEN: GRIEGO
,,,SIGNIFICADO: GENEROSO Y VIOLENTONOMBRE DEL POLITICO Y GUERRERO ATENIENSE DISCIPULO DE SOCRATES (SIGLO V). NOMBRE: COMUN
,,,GENERO: MASCULINO.  
Alcides,M,328/53,ORIGEN: GRIEGO
,,,"SIGNIFICADO: EL FUERTE Y VIGOROSO, UNO DE LOS NOMBRES DE HERCULES"
,,,NOMBRE: COMUN
,,,GENERO: MASCULINO.  
Alcott,A,012-DGRC-2000 A/OTRO,
Aldair,M,012-DGRC-2000,
Aldan,M,012-DGRC-2000,
Aldelmo,M,SANTORAL,
Aldemar,M,012-DGRC-2000,
Alden,M,012-DGRC-2000,
Alder,M,012-DGRC-2000,
Alderico,M,878/946,
Aldevar,M,012-DGRC-2000,
Aldo,M,400/55,ORIGEN: TEUTON
,,,"SIGNIFICADO: EL NOBLE QUE ESTA EXPERIMENTADOHIPOCO- RISTICO DE UNO DE LOS POCOS NOMBRES CUYO PRIMER ELEMENTO ES""ALD"", RAIZ INDOEUROPEA QUE SIGNIFICA:""CRECER, ALIMENTAR"", SAN ALDO, ERMITA¥O ITALIA- NO. NOMBRE: COMUN"
,,,GENERO: MASCULINO
,,,VARIACION DE GENERO: ALDA. 
Ale,A,ACOMP/OTRO-17/95,
Aleandro,M,012-DGRC-2000,
Aleardo,M,012-DGRC-2000,
Alec,M,012-DGRC-2000,
Alecio,M,012-DGRC-2000,
Aleix,M,17/99,
Alejandro,M,COMUN,ORIGEN: GRIEGO
,,,"SIGNIFICADO: APARTARRECHAZARPROTEGEREL DEFENSOR DE LOS HOMBRES- FORMADO POR ""FUERZA"" Y ""HOMBRE PROTECTOR"", EN EL SANTORAL CUARENTA SANTOS Y DOS BEATAS, ENTRE ELLOS EL PAPA ALEJANDRO I, AL CUAL SE LE ATRIBUYE LA INSTITUCION DEL AGUA BENDITA"
,,,NOMBRE: COMUN
,,,GENERO 
Alejo,M,COMUN,ORIGEN: GRIEGO
,,,"SIGNIFICADO: PROTECTORDEFENSORVENCEDORQUE PROTEJE Y DEFIENDE, PASO AL LATIN Y LUEGO A LAS LENGUAS ROMANCES, SAN ALEJO ES UN SANTO FAMOSO EN RUSIA EN EL SIGLO IV"
,,,NOMBRE: COMUN
,,,GENERO: MASCULINO  
Alek,M,012-DGRC-2000,
Aleksan,M,012-DGRC-2000,
Aleksander,M,4-Sep,
Aleksey,M,012-DGRC-2000,
Aleksy,M,012-DGRC-2000,
Alem,M,012-DGRC-2000,
Alen,A,ACOMP/OTRO-6/97,
Aleron,M,012-DGRC-2000,
Alesandro,M,Nov-00,
Aleser,M,012-DGRC-2000,
Alesio,M,17/90,
Alessandro,M,21/90,
Alessio,M,May-99,
Alex,M,851/74,ORIGEN: INGLES
,,,"SIGNIFICADO: ABREVIATURA DE ""ALEXANDER"""
,,,GENERO: MASCU LINO.-  
Alexan,M,012-DGRC-2000,
Alexander,M,903/78,
Alexandre,M,1-Apr,
Alexandro,M,17/99,
Alexandros,M,012-DGRC-2000,
Alexeev,M,24/00,
Alexei,M,Aug-00,
Alexey,M,012-DGRC-2000,
Alexio,M,18/02,
Alexis,M,902/78,
Aley,A,012-DGRC-2000,
Alfa,M,012-DGRC-2000,
Alfeo,M,COMUN,ORIGEN: GRIEGO
,,,"SIGNIFICADO: RIO DEL PELOPONESO, EN ARCADIA, HIJO DEL OCEANO Y TETIS, PADRE DEL APOSTOL SANTIAGO"
,,,GENERO: MASCULINO.  
Alfieri,M,012-DGRC-2000,
Alfio,M,633/65,ORIGEN: GRIEGO
,,,"SIGNIFICADO: BLANCOMANCHA BLANCA DE LA PIEL, RAIZ INDO EUROPEA,""ALBH"", LA MISMA DE ""ALBUS"" LATINO Y DE ""ALBH"". HORACIO MENCIONA EL II EPDO A UN USURERO LLAMADO ALFIO"
,,,GENERO: MASCULINO
,,,VARIACION DE GENERO: ALFIA. 
Alfonso,M,COMUN,"ORIGEN: GERMANICO"""
,,,"SIGNIFICADO: NOBLE GUERRERO, NOBLE Y LISTO PARA COM BATIR, NOMBRE DE LOS REYES ESPA¥OLES DESDE ALFONSO I"
,,,NOMBRE: COMUN
,,,GENERO: MASCULINO
,,,VARIACION DE GENERO: ALFONSINA.  
Alfred,M,012-DGRC-2000,
Alfredo,M,COMUN,ORIGEN: GERMANICO
,,,"SIGNIFICADO: CONSEJO DE LOS ELFOS. LOS ELFOS SON LOS DUENDES DE LA MITOLOGIA ESCANDINAVA, EL CONSEJERO PODEROSO, ENEMIGO DE LA GUERRA Y AMIGO DE LA PAZ."
,,,NOMBRE: COMUN
,,,GENERO: MASCULINO.  
Algar,M,012-DGRC-2000,
Alger,M,012-DGRC-2000,
Algerico,M,SANTORAL,
Alhue,M,012-DGRC-2000,
Alhueche,A,ACOMP/OTRO-28/96,
Ali,M,616/64,
Alian,A,ACOMP/OTRO 2/99,
Alibar,M,CIRC. 5/2000,
Alides,M,012-DGRC-2000,
Alihuen,A,ACOMP/OTRO-BS AS,
Alik,M,012-DGRC-2000,
Alim,M,012-DGRC-2000,
Alipio,M,SANTORAL,
Aliquen,M,012-DGRC-2000,
Alistair,M,012-DGRC-2000,
Alister,M,18/02,
Alkun,M,012-DGRC-2000,
Allan,M,012-DGRC-2000,
Allard,M,012-DGRC-2000,
Allen,M,PCIA BS AS,
Almandos,M,519/59,
Almanzor,M,012-DGRC-2000,
Almaquio,M,SANTORAL,
Almiro,M,012-DGRC-2000,
Alois,M,4-Jan,
Aloisio,M,012-DGRC-2000,
Aloiz,M,Aug-00,
Alojz,M,012-DGRC-2000,
Alon,M,CIRC 1/99,
Alonso,M,359/54,ORIGEN: GERMANICO
,,,"SIGNIFICADO: HOMBRE LISTO PARA EL COMBATE, VARIANTE DE ""ALFONSO"""
,,,GENERO: MASCULINO  
Alphonse,M,012-DGRC-2000,
Alpiniano,M,SANTORAL,
Alston,M,012-DGRC-2000,
Alter,M,21/98,
Alton,M,012-DGRC-2000,
Aluel,M,012-DGRC-2000,
Aluen,A,ACOMP/OTRO 12/00,
Aluhe,A,ACOMP/OTRO-17/95,
Alula,M,012-DGRC-2000,
Aluney,A,ACOMP/OTRO 12/00,
Alva,A,012-DGRC-2000 A/OTRO,
Alvand,M,4-Nov,
Alvar,M,303/52,
Alvaro,M,890/78,ORIGEN: GERMANICO
,,,"SIGNIFICADO: MUY ATENTO, DEL VISIGODO ""ALL"": TODO Y ""WARS"": PREVENIDO.-GENERO: MASCULINO  "
Alvesio,M,012-DGRC-2000,
Alvin,M,012-DGRC-2000,
Alvis,M,012-DGRC-2000,
Amabelio,M,012-DGRC-2000,
Amadeo,M,COMUN,ORIGEN: LATINO
,,,"SIGNIFICADO: BAJO LATIN ""AMADEUS"": EL QUE AMA A DIOS, NOMBRE DEL REY DE ESPA¥A, AMADEO DE SABOYA (1870)."
,,,NOMBRE: COMUN
,,,GENERO: MASCULINO.  
Amadeus,M,012-DGRC-2000,
Amadis,M,594/63,ORIGEN: LATINO
,,,"SIGNIFICADO: EL GRAN AMOR, ANTIGUA FORMA FRANCESA DE AMADEO"
,,,GENERO: MASCULINO.  
Amado,M,764/71,ORIGEN: LATINO
,,,"SIGNIFICADO: EL QUE ES AMADO, DEL LATIN ""AMATUS"", PARTI- CIPIO PASADO DE ""AMO"", CORRESPONDE SEMANTICAMENTE AL HEBREO DAVID, SAN AMADO, ABAD DE UN MONASTERIO FRANCES EN EL SIGLO VII"
,,,NOMBRE: COMUN
,,,GENERO: MASCULINO
,,,VARIACION DE GENERO: AMADA.- 
Amador,M,925/81,ORIGEN: LATINO
,,,"SIGNIFICADO: DEL LATIN ""AMATOR"": AMANTE, GALAN, AMADOR.- GENERO: MASCULINO  "
Amaike,A,ACOMP/OTRO 13/04,
Amalio,M,374/54,ORIGEN: TEUTON
,,,GENERO: MASCULINO
,,,MASCULINO DE AMALIA.  
Aman,M,012-DGRC-2000,
Amancio,M,SANTORAL,ORIGEN: LATINO
,,,"SIGNIFICADO: DEL LATIN ""AMANTIUS"" EL QUE AMA A DIOS, EN- TRE LOS SANTOS, UN OBISPO DE COMOS EN EL SIGLO V."
,,,GENERO: MASCULINO.  
Amandio,M,565/61,
Amando,M,COMUN,
Amani,A,ACOMP/OTRO 12/00,
Amankaya,A,ACOMP/OTRO-8/96,
Amaranto,M,COMUN,
Amarino,M,SANTORAL,
Amaro,M,COMUN,VARIANTE PORTUGUESA DE MAURO
,,,"GENERO: MASCULINO. MAURO: ORIGEN, LATINO DEL LATIN""MAURUS"", MORO, NATURAL DE MAURITANIA, EL DE TEZ MORENA.  "
Amaru,A,Acomp/otro 6/05,
Amauri,M,012-DGRC-2000,
Ambay,A,ACOMP/OTRO-BS AS,
Ambico,M,SANTORAL,
Ambrosio,M,SANTORAL,]ORIGEN: GRIEGO
,,,"SIGNIFICADO: EL INMORTAL, NOMBRE DEL SANTO PATRONO Y OBISPO DE MILAN, UNO DE LOS MAS FAMOSOS PADRES DE LA IGLESIA . NOMBRE: COMUN"
,,,GENERO: MASCULINO
,,,VARIACION DE GENERO: AMBROSIA.  
Amedeo,M,012-DGRC-2000,
Ameghino,M,012-DGRC-2000,
Amel,M,012-DGRC-2000,
Amelio,M,COMUN,
Americo,M,USJ,"AMERICO: TEUTON SIGNIFICADO: PRINCIPE DE ACION, ACTIVO, HACENDOSO CARACTERIZACION DEL NOMBRE: COMUN GENERO: MASCULINO VARIACION DE GENE RO: AMERICA.  "
Amideo,M,SANTORAL,
Amiel,M,13/96,ORIGEN: HEBREO
,,,SIGNIFICADO: DIOS ES MI PUEBLO.
,,,GENERO: MASCULINO.-  
Amilcar,M,903/78,ORIGEN: FENICIOPUNICO
,,,"SIGNIFICADO: EL ALCALDE DE LA GRAN CIUDAD, EL QUE MANDA EN ELLA, EL PRINCIPE DE LA CIUDAD, HAMELKARTH, DE MELKKARTH: REY DE LA CIUDAD, MELCARTE ERA EL SOBRENOMBRE BAJO EL CUAL LOS FENICIOS ADORABAN EN TIRO A SU DIOS SUPREMO BAAL."
,,,GENERO: MASCULINO. 
Amin,M,657/67,
Amir,M,Aug-92,
Amiri,M,012-DGRC-2000,
Amit,M,20/01,
Amittai,M,..9/00,
Ammiano,M,SANTORAL,
Ammiel,M,896/78,
Ammon,M,SANTORAL,ORIGEN: EGIPCIO
,,,"SIGNIFICADO: DIOS EGIPCIO, QUE BAJO LA FORMA DE CARNERO SE PUSO A ESCABAR BAJO LA ARENA DEL DESIERTO HASTA QUE BROTO AGUA QUE MITIGO LA SED DE HERCULES."
,,,GENERO: MASCULINO  
Ammonio,M,SANTORAL,
Amon,M,28/88,ORIGEN: HEBREO
,,,"SIGNIFICADO: EL QUE HACE CASAS, EL ESCONDIDO, NOMBRE DE UN DIOS EGIPCIO"
,,,GENERO: MASCULINO  
Amor,A,ACOMP/OTRO 12/00,
Amorino,M,012-DGRC-2000,
Amos,M,874/76,ORIGEN: HEBREO
,,,"SIGNIFICADO: YAHVEH HA SOSTENIDO, EL ROBUSTO, EL TERCERO DE LOS PROFETAS MENORES DE TEGDA, DE PROFESION VAQUERIZO Y CULTIVADOR DE HIGOS DE SICOMOROS"
,,,GENERO: MASCULINO.  
Ampelio,M,SANTORAL,ORIGEN: GRIEGO
,,,SIGNIFICADO: EL QUE CULTIVA PARA HACER VINO. NOMBRE: COMUN
,,,GENERO: MASCULINO  
Ampelo,M,SANTORAL,ORIGEN: GRIEGO
,,,"SIGNIFICADO: HIJO DE UN SATIRO Y UNA NINFA, QUE MURIO AL INTENTAR TOMAR LAS UVAS DE UNA VID, REGALO DE DIONISIO"
,,,GENERO: MASCULI- NO.  
Ampliado,M,SANTORAL,
Amuyen,M,012-DGRC-2000,
Anacario,M,SANTORAL,ORIGEN: GRIEGO
,,,SIGNIFICADO: NO SIN GRACIA
,,,GENERO: MASCULINO  
Anacleto,M,SANTORAL,ORIGEN: GRIEGO
,,,SIGNIFICADO: EL QUE FUE INVOCADOLLAMADO EN VOZ ALTA EL RESUCITADO
,,,NOMBRE: COMUN
,,,GENERO: MASCULINO
,,,VARIACION DE GENE- RO: ANACLETA.  
Anacreonte,M,COMUN,
Anael,A,ACOMP/OTRO-15/93,
Anando,M,012-DGRC-2000,
Ananias,M,012-DGRC-2000,
Anastasio,M,COMUN,
Anat,A,ACOMP/OTRO-28/96,
Anatalon,M,SANTORAL,
Anatol,M,012-DGRC-2000,
Anatole,M,012-DGRC-2000,
Anatolio,M,SANTORAL,ORIGEN: GRIEGO
,,,"SIGNIFICADO: EL ORIENTALHACER LEVANTAR LOS ASTROS, NA- CIDO EN ANATOLIA O ASIA MENOR.-GENERO: MASCULINO"
,,,VARIACION DE GENERO: ANATOLIA.  
Anaxagoras,M,COMUN,ORIGEN: GRIEGO
,,,"SIGNIFICADO: EL PRIMERO, EL AMO, EL PRINCIPE, EL QUE SO- BRESALE EN LA JUNTA POPULAR, NOMBRE FAMOSO POR EL FILOSOFO MAESTRO Y A- MIGO DE PERICLES Y DE EURIPIDES"
,,,GENERO: MASCULINO  
Ande,M,012-DGRC-2000,
Andeolo,M,SANTORAL,
Ander,M,012-DGRC-2000,
Anders,M,CIRC.05/2000,
Andino,M,012-DGRC-2000,
Andoni,M,012-DGRC-2000,
Andoquio,M,SANTORAL,
Andranik,M,012-DGRC-2000,
Andras,A,012-DGRC-2000 A/OTRO,
Andre,M,23/91,
